828,332.7,1455,861.8,2265
177.95,307,1440,800,2045
196,300,1662,796.5,1990
224,323.7,1775,763.85,2085
228,422,1766.5,730,2291
206,460,1396.3,649.1,2260
221,474.55,1397.2,757,2290
248.8,561,1570,786.05,2520
290,612,1833,759.25,2772
301.1,779,420,789.7,3250
275,785,497,823,3187
239.85,718.45,428,655,2998
238,704.95,477.5,673.7,2830.05
217.05,600,400,527.9,2651.9
222,610.05,382.75,481.1,2651
245,707.95,438,588,2772
266.25,689,500,566,2811.5
246,620,459.8,507,2308
242.5,618,445,580,2419.8
224,750,394,582,2366.9
194,613,346.15,392,1990
180,624,328,319,1884.9
197,688.9,337.55,364.6,1894
184,635.05,325,292.2,1812
154.5,604,309,238.95,1625.2
178.95,760,355.5,362.25,2054
188,790,397.95,405.9,2232
198,807.4,420.35,391.6,2096.5
198.9,880,459.7,333,2146
184.75,840.05,428.05,309,2062
198,910,464.9,361,2165
177.6,1035,473.15,335.9,2013.85
170,1050.1,462,323,1850.5
198.8,1175.5,497.75,431,2240
199.1,1285,495.8,384,2110
207,1381,464.95,427,2180
211.2,1355,481,484,2401
199.45,1309.7,448,475.25,2431
178.35,1278,458.4,360,2087
174.5,1157,460,315.7,2089.9
178.95,1230,457.65,352.7,2275
168,1476,463,328.3,2054.7
172,1390,464,337.2,1963.95
168.8,1155,460,346.7,1717
158,1055.6,455.75,313.7,1525
165,1161,482,319.5,1624.4
166,1350,480,373,1799
169.95,1415,483,380,1826
224.2,1575,480.25,363,1774
208,1525,462.55,322.2,1530
248,1577.3,452,308.5,1530
291.1,1786,455,347.9,1932.3
295,1880.5,443,358.9,2090
302,2003.8,419.4,531.7,2547.3
341,2049,391.1,661,2698.3
289,2219.95,394.5,576,2415.9
296.3,2479.9,96.3,532.9,2475
268,2705,120,457.3,2445
283.4,2780,106.9,479.2,2705
204,3100,97,525,323
220.65,3503.2,88.7,494,312
232.5,4045,83.4,487.4,309.95
214.95,4449.95,89.35,461.1,305.3
230.6,4100,65.7,427.6,266.9
237.15,4002.05,63,407,274
276.3,4274.9,55.9,405,279
275,5468,56.6,362,262
261,5500,59,386.5,270.7
252,4980,53.8,308.15,245.1
253,5165.25,43.55,379,242
245.65,5208,44.55,418.1,238.7
220,5514.4,42.8,441,250.45
209.3,6022.55,44.45,436.95,225
184.9,5950,38,385.2,182
158,5970,33.65,321.6,160
190,7000,35.95,367,194
228.4,6813.4,40,404,188
236.75,7550,37.95,411,206
239.45,7979,42.5,403.7,220.5
267.6,10520,43.45,455,230.95
265,11180,41.4,530.5,252.45
259,1075,41.55,554.9,252.6
267.05,1090.05,44.7,523.65,257.5
224.4,930,41.15,440.4,259.9
220,855,40.4,433.95,252.75
240.65,1048.5,59.9,450,261.6
262,1111,58.25,535.15,270
314.9,1175,57.6,617.9,294.3
351.5,1279,73.95,666,290.8
341.7,1330,82,565.2,287.2
325.25,1381,68.9,644.5,274
330.4,1702.8,73.8,725,313.7
353.85,1772,69.7,813,277.9
351.7,1850.05,65.25,589,255.2
387.75,1795,63.5,579,309.75
460.05,1720,71.5,434.9,321.55
493.1,1776.8,70.95,581.35,310
487.55,1677,52.25,491.35,316.05
528.85,1635,46.5,473,266.8
569.45,1769.75,41.6,427,251
655.5,1910,21.1,436.1,246.4
533,2132,44.7,420.9,269.5
535.1,2299,29.5,388.7,259.9
612,2720.95,27.55,421,295
563.3,2884.95,28.8,470.15,312
500,2171,23.05,280,265.5
493.1,2378,28.9,242.9,282.5
476.2,2549,27.85,229,287.4
504.9,2641.05,39.6,230.45,297
457.45,2598,29.95,194,296.05
461.1,2662.8,27.05,173.1,270
564,3027.5,30,204.5,322
559.5,3099.6,34.5,133.2,308
541.2,3465,30.6,121.55,352.05
535,3685,29.75,63.65,362.2
370,3211.05,26.2,51.65,331
392.5,3319.8,21.25,34,271.9
405.85,4095,22.5,24.3,273.8
397,4032.9,23.9,20.25,312.8
341.6,4089,26.8,15.5,343.35
358.3,4235,29.85,15.25,334.5
371.2,4368,27.75,9,319.9
415,4578,24,6.77,310.2
271.45,2166,16.45,4.6,195.5
338.9,2232,18.2,8.15,184.7
378,1998,19.7,6.95,164
394,2830,21.3,13.35,179.7
418,3236,21.8,9.02,194
498,3510,24,9.51,212.15
512.8,3400,21.3,7.81,187.7
485.65,3340,25.3,9.49,192.45
585,4945,36.25,9.75,244.8
608.6,5317,40.9,11.67,275
722.5,4766.05,37.75,9.65,284.55
1020,5310,46.2,10.1,395.8
990,5216,52.65,11.03,366.65
1153,5325,72.7,9.94,350
1060,5625,97.9,14.73,426.4
1038.95,6049.7,89.15,22.75,420
1175,6270,96.75,18.2,435.4
